Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,BHR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91866016,11.02672958,10.55867004,,,,8.179829597,7.458600044,8.684029579,7.32818985,,7.223849773,,,,
"Bahamas, The",BHS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.76528931,,,,,,,,,,,,,,,11.81881046,11.88607979,10.57621956,11.41967964,11.26607037,11.24431038,10.11715031
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55235004,12.62010956,12.45032024,10.1337204,,8.449549675,11.77812958,11.62664986,12.75230026,12.27398968,12.40672016,11.46173,12.1587801,12.28168964,13.26403999,13.23215008,12.89661026,16.53804016
Belize,BLZ,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18408012,15.61225986,18.30537033,,16.13167,16.24847031,,,,18.89439011,21.97053909,22.75577927,,,22.18861961,22.11071014,21.55191994,20.50201988,21.65851021,22.11375046,22.09441948,21.52098083,22.17474937
Bermuda,BMU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03660011,11.11384964,12.10540009,,,,13.97043037,12.93424034,,,,7.796440125,9.018799782,,7.773469925,,,,
Bolivia,BOL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62985992,9.600270271,11.45215988,10.61093998,9.637000084,,10.41242981,11.26471996,12.42636967,13.22266006,14.08339977,14.72636032,14.15985966,15.26900005,15.72778034,15.59270954,15.44384003,16.21810913,15.92883015,16.50490952,16.1483593,,,
Barbados,BRB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16819954,22.15035057,26.88882065,24.72448921,18.58456039,18.61813927,18.24297905,,17.22097015,15.71065044,16.10058022,18.09633064,,16.70269012,14.84482002,17.45105934,18.51855087,13.36244965,12.87915039,16.3585701,10.77849007,16.14246941,16.5802002
Brunei Darussalam,BRN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,13.07098961,11.2389698,,,,,9.586009979,11.84342957,10.06579018,8.710269928,8.226819992,9.18062973,9.276000023,,,,,8.760890007,8.893429756,8.920740128,,,,,,,,,,5.302080154,9.182189941,9.726420403,,9.984600067,,11.44194984,,,,,
Bhutan,BTN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15408039,13.44834995,,,18.8022995,22.99592018,,,15.64472961,12.86166954,11.79368973,13.05737019,17.52339935,15.63381958,17.03030968,25.52448082,24.64319992,23.45727921,21.87844086,20.38315964,15.78534031,16.24025917
Botswana,BWA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,14.32691002,15.51869965,15.4298296,15.49168968,16.69395065,16.03128052,,16.51087952,,16.31501961,,,,,,,,,,,,,25.8235302,,26.50778961,,20.47739983,,,,,,17.52825928,16.50358963,22.20000076,15.60871029,15.35272026,,
